product_name,slug,gtin,brand,category,servings,description,image,retailer_name,retailer_website,price,shipping_cost,url,in_stock
GYM HIGH Creatine Monohydrate Powder 250g,gym-high-creatine-monohydrate-powder-250g,0794179368862,GYM HIGH,Creatine,,"GYM HIGH™ Creatine Monohydrate – Enhance Strength & Power \n Boost your muscle size and performance with GYM HIGH™ Creatine Monohydrate Powder . This supplement enhances your body’s ability to supply energy to muscles, allowing you to lift heavier weights, complete more reps, and power through intense workouts. Clinically proven to increase strength, power, and endurance, it's the perfect addition to your fitness routine. \n ✔ Increases strength, power, & endurance ✔ Enhances muscle size & performance ✔ Ideal for mixing into protein shakes or pre-workout drinks ✔ Unflavored for easy use with any beverage \n How to use: Mix with your favorite drink or pre-workout for an energy boost before exercising.",https://gymhigh.co.uk/wp-content/uploads/2024/10/Creatine-Monohydrate.webp,GYM HIGH,https://gymhigh.co.uk,21.99,3.99,https://gymhigh.co.uk/?post_type=product&p=701,true
GYM HIGH Beta-Alanine 250g,gym-high-beta-alanine-250g,0742978960480,GYM HIGH,Health Supplements,,Pure beta-alanine powder that builds endurance by buffering acid build-up in muscles — 125 servings per tub. \n \nGYM HIGH Beta-Alanine delivers ~2 g per serving with Vitamin B6 included. Take 2–3 servings daily to hit the researched 3–6 g range. Unflavoured — mixes into any pre-workout or water. Results build over 3–4 weeks of consistent use. Vegan-friendly. \n \n ⚡ ~2 g Beta-Alanine per serving \n 🧠 Vitamin B6 (Pyridoxine) included \n 🔬 125 servings — 250 g tub \n 🌱 Vegan-friendly — unflavoured,https://gymhigh.co.uk/wp-content/uploads/2024/06/Beta-Alanine-Powder.webp,GYM HIGH,https://gymhigh.co.uk,22.99,3.99,https://gymhigh.co.uk/?post_type=product&p=702,true
GYM HIGH Vegan Plant-Based-Protein Blend 600g,gym-high-vegan-plant-based-protein-blend-600g,,GYM HIGH,Health Supplements,,"Vegan protein with a complete amino acid profile — three plant sources, digestive enzymes, no dairy. \n \n22.5 g protein per 30 g serving from pea isolate, hemp, and quinoa. Added Bromelain and Papain enzymes for gut comfort. MCT powder from coconut for sustained energy. Sugar-free, 100% vegan. Available in Berry Bliss, Caramel Chocolate, Vanilla Delight. \n \n 💪 22.5 g protein per serving (44% NRV) \n 🧬 Complete amino profile — all 9 essential aminos \n 🫁 Digestive enzymes — Bromelain & Papain \n 🌱 100% vegan — no dairy, no lactose",https://gymhigh.co.uk/wp-content/uploads/2024/06/Vegan-Plant-Based-Protein-Blend.webp,GYM HIGH,https://gymhigh.co.uk,21.99,3.99,https://gymhigh.co.uk/?post_type=product&p=703,true
GYM HIGH ZMB 60 Capsules,gym-high-zmb-60-capsules,0742978960381,GYM HIGH,Health Supplements,,"Zinc, Magnesium, and B6 — the three nutrients exercise depletes fastest, fully dosed in one capsule. \n \nGYM HIGH ZMB uses aspartate-bonded zinc and magnesium for better absorption than cheaper oxide forms. Supports testosterone levels, muscle recovery, sleep quality, and immune function. 1 capsule per day, 60 servings. Vegan-friendly. \n \n ⚡ Magnesium Aspartate — 450 mg (120% NRV) \n 💪 Zinc Aspartate — 30 mg (300% NRV) \n 🧠 Vitamin B6 — 10.5 mg (750% NRV) \n 🌱 Vegan-friendly — HPMC capsule shell",https://gymhigh.co.uk/wp-content/uploads/2024/06/ZMB-60-Capsules.webp,GYM HIGH,https://gymhigh.co.uk,16.99,3.99,https://gymhigh.co.uk/?post_type=product&p=707,true
GYM HIGH Shaker Bottle,gym-high-shaker-bottle,,GYM HIGH,Accessories,,"\n \n \n \n \n \n \n \n \n GYM HIGH™ Shaker Cup – Perfect for Smooth Mixing & Hydration \n Stay fueled and hydrated with the GYM HIGH™ Shaker Cup , your go-to companion for workouts. Made from BPA-free materials, this shaker ensures you enjoy your drinks without harmful chemicals. The included metal ball guarantees smooth, consistent mixing of your protein or supplements. With a leak-proof design and a 600ml capacity, it’s perfect for on-the-go use without the worry of spills. \n ✔ BPA-free for safe, toxin-free hydration ✔ Metal ball for smooth, consistent mixing ✔ Leak-proof design for convenience on the go ✔ 600ml capacity for optimal hydration during workouts \n How to use: Add your protein powder or supplements, shake well, and enjoy a perfectly blended drink. \n \n \n \n \n \n \n \n \n \n",https://gymhigh.co.uk/wp-content/uploads/2024/06/Shaker-Cup.webp,GYM HIGH,https://gymhigh.co.uk,9.99,3.99,https://gymhigh.co.uk/?post_type=product&p=708,true
GYM HIGH Hardcore Wrist Wraps,gym-high-hardcore-wrist-wraps,,GYM HIGH,Accessories,,"59 cm wrist wraps that provide real joint support — not just the look of it. \n \n8 cm wide for full wrist joint coverage. Reinforced thumb loop, secure velcro closure, black camo design with GYM HIGH branding. Built for bench press, overhead work, CrossFit, gymnastics, and MMA. Sold as a pair. \n \n 📏 59 cm length — substantial support \n ↔️ 8 cm width — full joint coverage \n 🔒 Velcro closure — stays put mid-set \n 👍 Reinforced thumb loop included",https://gymhigh.co.uk/wp-content/uploads/2024/06/Hardcore-Wrist-Wraps.webp,GYM HIGH,https://gymhigh.co.uk,29.99,3.99,https://gymhigh.co.uk/?post_type=product&p=712,true
GYM HIGH 7mm Leather Weight Lifting Belt,gym-high-7mm-leather-weight-lifting-belt,,GYM HIGH,Accessories,,"7mm genuine leather weightlifting belt — tapered design, two-prong buckle, built for heavy lifting. \n \n99 mm wide at the back for full lumbar support, narrowing to 63 mm at the front so it doesn't restrict movement at the bottom of squats or deadlifts. Stainless steel two-prong buckle. Sized S–XXL by belly button measurement — not waist size. Suitable for powerlifting, CrossFit, bodybuilding and MMA. \n \n 🏋️ 7mm genuine leather — tapered fit \n 📐 99 mm back / 63 mm front \n 🔩 Stainless steel two-prong buckle \n 👥 S — XXL — sized by belly button",https://gymhigh.co.uk/wp-content/uploads/2024/06/Weight-Lifting-Belt.webp,GYM HIGH,https://gymhigh.co.uk,49.99,3.99,https://gymhigh.co.uk/?post_type=product&p=713,true
GYM HIGH Performance T-Shirt,gym-high-performance-t-shirt,,GYM HIGH,Accessories,,"A clean GYM HIGH training tee — 95% cotton, comfortable fit, gym to street. \n \nSoft cotton construction that holds its shape and wears well over time. Not a technical moisture-wicking fabric — built for comfort and everyday wear. Clean GYM HIGH branding, nothing loud. Available in XS through XXL. \n \n 👕 95% cotton / 5% polyester \n📐 XS — XXL — fitted cut, size up if in doubt \n 🏋️ Gym, casual, everyday \n 🇬🇧 GYM HIGH branded — clean design",https://gymhigh.co.uk/wp-content/uploads/2024/06/gh-tee-2.png,GYM HIGH,https://gymhigh.co.uk,23.99,3.99,https://gymhigh.co.uk/?post_type=product&p=719,true
GYM HIGH Cream Of Rice 2kg,gym-high-cream-of-rice-2kg,,GYM HIGH,Health Supplements,,"The carb source that doesn't upset your stomach — with probiotics built in. \n \nGYM HIGH Cream Of Rice gives you 19 g of fast-digesting carbs per serving, with a 4-strain probiotic blend added for gut comfort. Smooth texture, five flavours, ready in minutes. Works pre-workout, post-workout, or as an easy daily meal. \n \n ⚡ 80 servings — 28p each \n 🥣 19 g carbs per serving \n 🦠 4 probiotic strains \n ⏱️ Ready in under 3 minutes",https://gymhigh.co.uk/wp-content/uploads/2024/06/Cream-Of-Rice.webp,GYM HIGH,https://gymhigh.co.uk,22.99,3.99,https://gymhigh.co.uk/?post_type=product&p=738,true
GYM HIGH Shred Mode 60 Capsules,gym-high-shred-mode-60-capsules,,GYM HIGH,Health Supplements,,"Thermogenic fat burner with 8 fully listed ingredients — no proprietary blends. \n \nSupports energy, appetite control, and training intensity during calorie deficits. Built for people already training consistently who want to keep progress moving. 1–2 capsules per serving, 60 servings. Not suitable for under 18s. \n \n 🔬 8 active ingredients — every dose listed \n ⚡ 125 mg caffeine per capsule \n 🌶️ Includes Capsicum, BioPerine™ & NeuroPEA™ \n 🇬🇧 UK made",https://gymhigh.co.uk/wp-content/uploads/2025/04/GYM-HIGH-Shred-Mode-Thermogenic-Fat-Burner.webp,GYM HIGH,https://gymhigh.co.uk,39.99,3.99,https://gymhigh.co.uk/?post_type=product&p=2796,true
GYM HIGH Pure L-Arginine powder 500g,gym-high-pure-l-arginine-powder-500g,0691057494654,GYM HIGH,Health Supplements,166,"Pure L-Arginine powder — supports nitric oxide, blood flow, and muscle pump. \n \nGYM HIGH Pure L-Arginine is 100% pharmaceutical-grade powder with no fillers or additives. 3 g per serving, 166 servings per tub. Unflavoured — mixes into any pre-workout, shake, or water without changing the taste. Vegan-friendly, UK made. \n \n 💪 3 g per serving — 166 servings per tub \n 🔬 100% pure — no fillers or additives \n 🌱 Vegan-friendly \n ⏱️ Take 30–45 min before training",https://gymhigh.co.uk/wp-content/uploads/2025/09/GYM-HIGH-L-Arginine-Powder.jpg,GYM HIGH,https://gymhigh.co.uk,26.99,3.99,https://gymhigh.co.uk/?post_type=product&p=3333,true
GYM HIGH Liquid Chalk,gym-high-liquid-chalk,,GYM HIGH,Health Supplements,,"Liquid chalk that dries in seconds and holds through sweat — gym-friendly, no powder mess. \n \nApply a small amount, rub together, wait a few seconds. Secure grip from first rep to last. Works where loose chalk doesn't — minimal dust, no complaints from gym staff. 250 ml fits your bag. \n \n ✋ Dries in seconds — ready before warm-up \n 🏢 Gym-friendly — minimal dust \n 🏋️ Deadlifts, pull-ups, climbing, gymnastics \n 🎒 250 ml — fits any gym bag",https://gymhigh.co.uk/wp-content/uploads/2025/11/GYM-HIGH-Liquid-Chalk.jpg,GYM HIGH,https://gymhigh.co.uk,9.99,3.99,https://gymhigh.co.uk/?post_type=product&p=3405,true
GYM HIGH Whey Pro Synergy Dynamic 600g,gym-high-whey-pro-synergy-dynamic-600g,,GYM HIGH,Whey Protein,,"Most protein powders give you speed or staying power. This one gives you both. \n \nGYM HIGH Whey Pro Synergy Dynamic blends 50% whey isolate with 50% micellar casein — fast-acting and slow-release in a single shake. Add probiotics for gut comfort, and you've got 24 g of protein that actually agrees with you. Available in Banana, Chocolate, Strawberry and Vanilla.",https://gymhigh.co.uk/wp-content/uploads/2026/04/GYM-HIGH-Whey-Pro-Synergy-Dynamic-600g.jpg,GYM HIGH,https://gymhigh.co.uk,29.99,3.99,https://gymhigh.co.uk/?post_type=product&p=3627,true
GYM HIGH L-Carnitine Liquid 500 ml,gym-high-l-carnitine-liquid-500-ml,,GYM HIGH,Weight Management,,\n Build Your Routine & Save \n 1 Bottle — Try It \nPerfect if you’re trying Gym High for the first time. \n \n 2 Bottles — Best Routine Pack \nSave 10% when you add 2 bottles. \n \n 3 Bottles — Best Value \nSave 15% + free shipping when you add 3 bottles. \n Discount is applied automatically in your basket. \n \n,https://gymhigh.co.uk/wp-content/uploads/2026/03/GYM-HIGH-L-Carnitine-liquid.jpg,GYM HIGH,https://gymhigh.co.uk,23.99,3.99,https://gymhigh.co.uk/?post_type=product&p=3955,true
GYM HIGH Creatine Monohydrate 400g,gym-high-creatine-monohydrate-400g,0691057494883,GYM HIGH,Creatine,,"100% micronised creatine monohydrate — one ingredient, nothing added, 80 servings. \n \nMicronised for better mixability and faster absorption than standard creatine. 5 g per serving — the dose backed by decades of research. Unflavoured, mixes into any shake or water without changing the taste. Vegan-friendly, zero fillers, zero sugars. \n \n ⚡ 5 g creatine per serving — 80 servings \n 🔬 Micronised — better absorption, no grit \n 🚫 Zero fillers, zero sugars, unflavoured \n 🌱 Vegan-friendly — UK made",https://gymhigh.co.uk/wp-content/uploads/2026/05/gym-high-creatine-monohydrate-400.jpg,GYM HIGH,https://gymhigh.co.uk,25.99,3.99,https://gymhigh.co.uk/?post_type=product&p=4623,true
